"","saledate","neigh","saleprice","landval","imprval","totalval","mbmancls","mbyrblt","mbeffyr","heattype","baseste","garagefl","carptfl","mktrcnld","linmcls","mbmclsdv","bedrooms","baths","familyrm","fireplcs","flrarea1","flrarea2","bsmtfin","mbmktval","mb_rcn","cp_mancl","cp_area","cpmktval","cp_rcn","gr_mancl","gar_area","gar_type","grmktval","gr_rcn","ob1mktval","lcs_val","width","depth","lot_size","conduit","alley","sidewalk","culdesac","corner","wooded","pie_shpe","slope","abv_road","splitlvl","crwlarea","bsmtarea","unfinbmt","area1_2","totarea","linmcdv","random","month"
"1",11017,716,221077.96676,50636.3,148013.8,198650.1,140,2000,2000,2,0,0,1,190804.541928,1,10,3,2.75,1,2,1375,0,950,183064.82424867,222070.1253498,931,420,7740.5362398,10058.5852731,0,0,0,0,0,0,48711.25,59.9,123.7,7412,1,0,0,0,0,0,0,1,0,0,0,1346,396,1375,2325,1.1,0.0022967,10
"2",200817,715,171606.697794,50982.404,98241.374,149223.778,90,1987,1987,3,0,1,0,136246.121179,0.945,2,3,2.25,2,1,1793,0,400,130495.13247435,192892.18287465,0,0,0,0,910,308,2,5751.1684062,7913.51715735,0,48572.47,93,120,11160,0,1,0,0,0,0,0,0,0,0,0,1793,1393,1793,2193,0.9639,0.01876649,8
"3",200517,715,123781.880376,50982.404,71031.664,122014.068,90,1989,1989,2,0,0,0,84635.836019,0.945,2,2,1,1,0,950,0,480,84636.464974425,112848.08086125,0,0,0,0,0,0,0,0,0,0,49945.48,62,115,7130,1,0,0,0,0,0,0,0,0,0,0,950,470,950,1430,0.9639,0.02751608,5
"4",230617,715,122375.268099,38809.639,84922.937,123732.576,90,1989,1989,6,1,0,1,105673.4964775,0.945,0,3,1,0,0,1128,0,750,101633.751723035,139418.9317458,921,312,4040.0502471,5940.39413835,0,0,0,0,0,0,33769.41,65,110,7150,0,0,0,0,0,0,0,0,0,0,0,1128,378,1128,1878,0.945,0.03110882,6
"5",160417,715,128001.717207,41530.61,88789.58,130320.19,90,1989,1989,2,1,1,0,113851.714018,0.945,0,3,1,0,0,1040,0,504,105799.269592345,130328.01003285,0,0,0,0,920,312,2,8052.60615705,11031.69845295,0,36170.91,60,110,6600,1,0,0,0,0,0,0,0,0,0,0,1040,536,1040,1544,0.945,0.03715873,4
"6",240717,715,126595.10493,41673.819,76187.188,117861.007,90,1985,1985,2,0,0,1,104819.914115,0.945,0,3,1,0,1,1200,0,0,100007.83006879,128071.8570726,921,296,4811.50900125,6621.2833113,0,0,0,0,0,0,42858.76,50,120,6000,0,1,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,0.945,0.03718209,7
"7",310317,715,109715.757606,48834.269,70745.246,119579.515,80,1988,1988,2,1,0,0,91586.173035,0.783,8,3,1,0,0,912,0,912,91586.900331745,116714.0981853,0,0,0,0,0,0,0,0,0,0,46376.88,62.5,118.4,7400,0,1,0,0,0,0,0,0,0,0,0,912,0,912,1762,0.84564,0.03865395,3
"8",310717,716,138173.729225,58582.304,75409.136,133991.44,90,1992,1992,2,0,0,0,90312.6079835,0.945,2,3,1,0,0,1060,0,0,90312.75174474,117594.8973045,0,0,0,0,0,0,0,0,0,0,49957.81,55.2,138.5,7645,1,0,0,0,0,0,0,1,1,0,0,1060,1060,1060,1060,0.9639,0.04497835,7
"9",150417,716,121592.881718,49078.26,62321.6,111399.86,90,1996,1996,2,0,0,0,75629.194333,0.945,-5,2,1,0,0,792,0,110,75628.637258195,94926.6249813,0,0,0,0,0,0,0,0,0,0,40049,44,114,5016,1,0,0,0,0,0,0,0,0,0,0,792,682,792,902,0.89775,0.05013293,4
"10",120317,716,120013.753384,50480.496,78525.216,129005.712,90,1996,1996,2,0,0,0,95885.153049,0.945,2,3,1,0,1,1000,0,0,95884.560033885,120352.41758925,0,0,0,0,0,0,0,0,0,0,41176.18,44,117,5148,1,0,0,0,0,0,0,1,1,0,0,1000,1000,1000,1000,0.9639,0.05040468,3
"11",51017,716,148438.063396,52973.36,81329.688,134303.048,90,1991,1991,2,0,0,0,97631.852115,0.945,4,3,1.75,1,0,1036,0,576,97631.45677159,128125.22843295,0,0,0,0,0,0,0,0,0,0,47929.43,60,120,7200,1,0,0,0,0,0,0,0,0,0,0,1036,460,1036,1612,0.9828,0.05838211,10
"12",300617,716,156333.705066,55154.616,92391.772,147546.388,90,1996,1996,2,0,0,1,117201.35091,0.945,4,3,1.5,1,1,1060,0,450,113066.09478171,136727.721333,921,264,4135.47177015,5324.1975234,0,0,0,0,0,0,44917.49,50,114,5700,1,0,0,0,0,0,0,0,0,0,0,1060,610,1060,1510,0.9828,0.05970844,6
"13",90917,715,122375.268099,41673.819,74039.053,115712.872,90,1984,1984,2,0,0,0,97195.1773485,0.945,0,2,1,0,0,972,0,380,97194.35072137,122767.0673166,0,0,0,0,0,0,0,0,0,0,42858.76,50,120,6000,0,1,0,0,0,0,0,1,0,0,0,972,592,972,1352,0.945,0.06252948,9
